Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Corrected_length,Corrected_thickness,3D_school_volume,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Region_notes
1,"LJ_T01","Transect",2054,26.022054,79,4134,565.114183,27636.571857,20200913, 19:29:47.1470,20200913, 21:11:09.6480,43.49032184,-66.13666667,43.24819335,-66.13572068,"13.0.388.45006",20230628, 13:46:13.1930,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-13\LJ_Sep13_2020_AD2.EV",1171588.279011,-9999.000000,19999.212000,-9999.000000,0.00000062607534,-62.0337339942,43.186509,38.000000,""
2,"LJ_T02","Transect",2054,25.775004,4432,8195,29877.203167,57925.531234,20200913, 21:18:36.6610,20200913, 22:52:41.1610,43.24812924,-66.10930661,43.49840959,-66.10993333,"13.0.388.45006",20230628, 13:46:13.1930,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-13\LJ_Sep13_2020_AD2.EV",1225063.086271,-9999.000000,19999.212000,-9999.000000,0.00000115588114,-59.3708682374,43.375830,38.000000,""
3,"LJ_T03","Transect",2054,22.113437,8566,11804,60847.381338,88957.554733,20200913, 23:01:57.6610,20200914, 00:22:54.6610,43.49828303,-66.08302559,43.24607468,-66.08329852,"13.0.388.45006",20230628, 13:46:13.1930,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-13\LJ_Sep13_2020_AD2.EV",1019478.444965,-9999.000000,19999.212000,-9999.000000,0.00000104587787,-59.8051902805,36.332695,38.000000,""
