Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Corrected_length,Corrected_thickness,3D_school_volume,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Region_notes
1,"FM_T01","Transect",2052,35.183131,655,4702,4236.919835,32561.791500,20200913, 20:53:44.0020,20200913, 22:34:54.5030,43.50162235,-66.21651586,43.25297909,-66.21695072,"13.0.388.45006",20230628, 13:45:47.5940,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-13\FM_Sep13_2020_AD2.EV",1811467.162296,-9999.000000,19999.212000,-9999.000000,0.00000008058797,-70.9372978423,63.758182,38.000000,""
2,"FM_T02","Transect",2052,30.272037,5000,8490,34886.369961,62782.214905,20200913, 22:42:21.5060,20200914, 00:09:36.5010,43.25416911,-66.19029807,43.50093156,-66.19029214,"13.0.388.45006",20230628, 13:45:47.5940,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-13\FM_Sep13_2020_AD2.EV",1501733.201283,-9999.000000,19999.212000,-9999.000000,0.00000001128828,-79.4737234275,53.626738,38.000000,""
3,"FM_T03","Transect",2052,27.363087,8767,11934,65118.340093,93139.246141,20200914, 00:16:32.0080,20200914, 01:35:44.0040,43.49989048,-66.16370776,43.25220882,-66.16343466,"13.0.388.45006",20230628, 13:45:47.5940,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-13\FM_Sep13_2020_AD2.EV",1354031.082053,-9999.000000,19999.212000,-9999.000000,0.00000000000000,-9999.0000000000,48.284242,38.000000,""
