Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Corrected_length,Corrected_thickness,3D_school_volume,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Region_notes
1,"MS_T01","Transect",2022,38.964014,480,5351,1485.365050,36992.207946,20201011, 19:11:10.5970,20201011, 21:12:57.0890,43.55321833,-66.43633500,43.23448577,-66.43488612,"13.0.388.45006",20230628, 11:48:09.4640,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\MS_Oct11_2020_AD2.EV",2463549.763378,-9999.000000,19999.212000,-9999.000000,0.00000014202575,-68.4763290602,69.511960,38.000000,""
2,"MS_T02","Transect",2022,34.637549,6841,13330,48363.092489,85579.044711,20201011, 21:50:12.0890,20201012, 00:32:25.5870,43.23356625,-66.29687246,43.56728186,-66.29837459,"13.0.388.45006",20230628, 11:48:09.4640,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\MS_Oct11_2020_AD2.EV",2316765.705345,-9999.000000,19999.212000,-9999.000000,0.00000133986587,-58.7293867664,62.132206,38.000000,""
3,"MS_T03","Transect",2022,26.557380,15200,19563,99746.823861,128144.426023,20201012, 01:19:10.5970,20201012, 03:08:15.0890,43.50146942,-66.14909588,43.24620000,-66.15023500,"13.0.388.45006",20230628, 11:48:09.4640,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\MS_Oct11_2020_AD2.EV",1297177.062216,-9999.000000,19999.212000,-9999.000000,0.00000000000000,-9999.0000000000,45.823721,38.000000,""
