Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Corrected_length,Corrected_thickness,3D_school_volume,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Region_notes
1,"LM_T01","Transect",2021,32.304842,1526,6397,3106.444757,40915.829734,20201011, 20:14:12.3860,20201011, 22:15:58.8860,43.56601955,-66.37800583,43.23210527,-66.37635009,"13.0.388.45006",20230628, 11:47:57.0290,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\LM_Oct11_2020_AD2.EV",2174214.408168,-9999.000000,19999.212000,-9999.000000,0.00000052769449,-62.7761744122,57.639093,38.000000,""
2,"LM_T02","Transect",2021,37.310635,7727,13753,52480.525478,89921.904780,20201011, 22:49:13.8860,20201012, 01:19:52.8860,43.23623500,-66.23987000,43.56744501,-66.23999687,"13.0.388.45006",20230628, 11:47:57.0290,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\LM_Oct11_2020_AD2.EV",2452140.736066,-9999.000000,19999.212000,-9999.000000,0.00000014571615,-68.3649230517,65.857402,38.000000,""
3,"LM_T03","Transect",2021,21.184705,15630,19624,105433.671137,133189.069182,20201012, 02:06:48.3860,20201012, 03:46:39.3860,43.50101143,-66.08442446,43.25509849,-66.08334639,"13.0.388.45006",20230628, 11:47:57.0290,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\LM_Oct11_2020_AD2.EV",954806.896660,-9999.000000,19999.212000,-9999.000000,0.00000035241861,-64.5294117148,34.679477,38.000000,""
