"","SAMPLID","LEN","CLEN"
"328",20200349,210,30
"329",20200349,215,11
"330",20200349,220,5
"331",20200349,225,4
"332",20200349,230,2
"333",20200349,245,1
"334",20200349,250,2
"335",20200350,175,1
"336",20200350,180,3
"337",20200350,185,8
"338",20200350,190,17
"339",20200350,195,18
"340",20200350,200,24
"341",20200350,205,37
"342",20200350,210,24
"343",20200350,215,11
"344",20200350,220,8
"345",20200350,225,3
"346",20200350,230,3
"347",20200350,235,1
"348",20200350,240,2
"349",20200351,170,2
"350",20200351,175,3
"351",20200351,180,10
"352",20200351,185,14
"353",20200351,190,24
"354",20200351,195,26
"355",20200351,200,43
"356",20200351,205,27
"357",20200351,210,26
"358",20200351,215,10
"359",20200351,220,4
"360",20200351,225,1
"361",20200351,230,1
"362",20200351,240,4
"363",20200351,250,3
"364",20200351,260,1
"365",20200351,275,1
"366",20200352,180,3
"367",20200352,185,3
"368",20200352,190,11
"369",20200352,195,24
"370",20200352,200,33
"371",20200352,205,38
"372",20200352,210,21
"373",20200352,215,8
"374",20200352,220,7
"375",20200352,225,2
"376",20200352,230,2
"377",20200352,235,1
"378",20200352,245,1
"379",20200353,175,1
"380",20200353,180,1
"381",20200353,185,5
"382",20200353,195,27
"383",20200353,200,53
"384",20200353,190,19
"385",20200353,205,25
"386",20200353,210,38
"387",20200353,215,3
"388",20200353,220,7
"389",20200353,225,2
"390",20200353,230,4
"391",20200353,235,3
"392",20200105,255,18
"393",20200105,260,21
"394",20200105,265,11
"395",20200105,270,7
"396",20200105,275,1
"397",20200105,280,3
"398",20200105,285,2
"399",20200105,295,1
"400",20200105,300,1
"401",20200105,310,1
"402",20200106,220,2
"403",20200106,225,8
"404",20201077,230,9
"405",20201077,235,2
"406",20201077,240,2
"407",20201077,245,2
"408",20201078,170,2
"409",20201078,175,4
"410",20201078,180,6
"411",20201078,185,10
"412",20201078,190,12
"413",20201078,195,13
"414",20201078,200,14
"415",20201078,205,16
"416",20201078,210,17
"417",20201078,215,20
"418",20201078,220,24
"419",20201078,225,29
"420",20201078,230,34
"421",20201078,235,24
"422",20201078,240,6
"423",20201078,245,4
"424",20201078,250,2
"425",20201078,270,2
"426",20201078,275,1
"427",20201079,185,1
"428",20201079,190,9
"429",20201079,195,8
"430",20201079,200,1
"431",20201079,205,6
"432",20201079,210,5
"433",20201079,215,10
"434",20201079,220,19
"435",20201079,225,14
"436",20201079,230,24
"437",20201079,235,8
"438",20201079,240,10
"439",20201079,245,9
"440",20201079,250,9
"441",20201079,255,8
"442",20201079,260,10
"443",20201079,265,5
"444",20201080,180,1
"445",20201080,185,4
"446",20201080,190,6
"447",20201080,195,8
"448",20201080,200,13
"449",20201080,205,10
"450",20201080,210,8
"451",20201080,215,13
"452",20201080,220,20
"453",20201080,225,25
"454",20201080,230,31
"455",20201080,235,19
"456",20201080,240,14
"457",20201080,245,13
"458",20201080,250,12
"459",20201080,255,13
"460",20201080,260,9
"461",20201080,265,7
"462",20201080,270,2
"463",20201080,275,1
"464",20201081,165,5
"465",20201081,170,11
"466",20201081,175,15
"467",20201081,180,21
"468",20201081,185,20
"469",20201081,190,18
"470",20201081,195,13
"471",20201081,200,10
"472",20201081,205,12
"473",20201081,210,14
"474",20201081,215,14
"475",20201081,220,13
"476",20201081,225,7
"477",20201081,230,4
"478",20201082,165,2
"479",20201082,170,8
"480",20201082,175,13
"481",20201082,180,21
"482",20201082,185,28
"483",20201082,190,23
"484",20201082,195,15
"485",20201082,200,16
"486",20201082,205,17
"487",20201082,210,22
"488",20201082,215,20
"489",20201082,220,14
"490",20201082,225,12
"491",20201082,230,10
"492",20201082,235,7
"493",20201082,240,2
"494",20201083,265,1
"495",20201083,270,6
"496",20201083,275,8
"497",20201083,280,38
"498",20201083,285,18
"499",20201083,290,46
"500",20201083,295,7
"501",20201083,300,15
"502",20201083,305,5
"503",20201083,310,4
"504",20201083,315,2
"505",20201084,260,2
"506",20201084,265,2
"507",20201084,270,7
"508",20201084,275,12
"509",20201084,280,29
"510",20201084,285,33
"511",20201084,290,21
"512",20201084,295,15
"513",20201084,300,28
"514",20201085,180,11
"515",20201085,185,5
"516",20201085,190,5
"517",20201085,195,10
"518",20201085,200,3
"519",20201085,205,6
"520",20201085,210,15
"521",20201085,215,30
"522",20201085,220,25
"523",20201085,225,37
"524",20201085,230,10
"525",20201085,235,7
"526",20201085,240,1
"527",20201085,245,2
"528",20201085,250,5
"529",20201086,170,2
"530",20201086,180,5
"531",20201086,185,7
"532",20201086,190,8
"533",20201086,195,6
"534",20201086,200,4
"535",20201086,205,8
"536",20201086,210,21
"537",20201086,215,23
"538",20201086,220,38
"539",20201086,225,51
"540",20201086,230,28
"541",20201086,235,12
"542",20201086,240,6
"543",20201086,245,4
"544",20201086,250,2
"545",20201086,255,1
"546",20201086,275,1
"547",20201086,280,1
"548",20201103,230,1
"549",20201103,240,1
"550",20201103,245,4
"551",20201103,250,5
"552",20201103,255,12
"553",20201103,260,17
"554",20201103,265,18
"555",20201103,270,18
"556",20201103,275,23
"557",20201103,280,27
"558",20201103,285,9
"559",20201103,290,10
"560",20201103,295,9
"561",20201103,300,1
"562",20200894,250,18
"563",20200894,255,13
"564",20200894,260,22
"565",20200894,265,20
"566",20200894,270,25
"567",20200894,275,7
"568",20200894,280,15
"569",20200894,285,7
"570",20200894,290,3
"571",20200894,295,3
"572",20200894,310,1
"573",20200555,180,15
"574",20200555,185,5
"575",20200555,190,15
"576",20200555,195,27
"577",20200555,200,29
"578",20200555,205,52
"579",20200555,210,20
"580",20200555,215,17
"581",20200555,220,1
"582",20200556,165,2
"583",20200556,170,1
"584",20200556,175,1
"585",20200556,180,2
"586",20200556,185,6
"587",20200556,190,12
"588",20200556,195,16
"589",20200556,200,37
"590",20200556,205,29
"591",20200556,210,42
"592",20200556,215,22
"593",20200556,220,18
"594",20200556,225,4
"595",20200556,230,2
"596",20200556,235,1
"597",20200556,245,1
"598",20200556,255,2
"599",20200556,260,1
"600",20200556,265,1
"601",20200557,165,5
"602",20200557,170,1
"603",20200557,175,7
"604",20200557,180,6
"605",20200557,185,6
"606",20200557,190,18
"607",20200557,195,21
"608",20200557,200,21
"609",20200557,205,31
"610",20200557,210,24
"611",20200557,215,9
"612",20200557,220,6
"613",20200557,225,1
"614",20200557,230,1
"615",20200557,255,1
"616",20200557,260,2
"617",20200558,160,1
"618",20200558,170,1
"619",20200558,175,1
"620",20200558,180,1
"621",20200558,185,6
"622",20200558,190,10
"623",20200558,195,19
"624",20200558,200,32
"625",20200558,205,36
"626",20200558,210,42
"627",20200558,215,25
"628",20200558,220,20
"629",20200558,225,3
"630",20200558,230,3
"631",20200558,235,2
"632",20200558,250,1
"633",20200558,255,1
"634",20200558,260,1
"635",20200559,160,1
"636",20200559,165,3
"637",20200559,170,2
"638",20200559,175,8
"639",20200559,180,17
"640",20200559,185,8
"641",20200559,190,19
"642",20200559,195,26
"643",20200559,200,23
"644",20200559,205,24
"645",20200559,210,15
"646",20200559,215,4
"647",20200559,220,3
"648",20200559,225,3
"649",20200559,235,1
"650",20200559,250,1
"651",20200559,255,1
"652",20200560,155,1
"653",20200560,160,4
"654",20200560,165,9
"655",20200560,170,19
"656",20200560,175,14
"657",20200560,180,17
"658",20200560,185,20
"659",20200560,190,27
"660",20200560,195,17
"661",20200560,200,22
"662",20200560,205,16
"663",20200560,210,22
"664",20200560,215,7
"665",20200560,220,7
"666",20200560,230,3
"667",20200560,240,1
"668",20200561,190,2
"669",20200561,195,2
"670",20200561,200,8
"671",20200561,205,5
"672",20200561,210,20
"673",20200561,215,31
"674",20200561,220,48
"675",20200561,225,27
"676",20200561,230,15
"677",20200561,235,5
"678",20200561,240,12
"679",20200561,245,11
"680",20200561,250,15
"681",20200561,255,5
"682",20200561,260,13
"683",20200561,265,5
"684",20200561,270,4
"685",20200561,275,1
"686",20200561,280,5
"687",20200561,285,2
"688",20200561,290,3
"689",20200561,295,3
"690",20200561,300,1
"691",20200561,310,1
"692",20200988,280,35
"693",20200988,285,26
"694",20200988,290,28
"695",20200988,295,16
"696",20200988,300,16
"697",20200988,305,6
"698",20200988,310,3
"699",20200989,235,1
"700",20200989,240,2
"701",20200989,245,2
"702",20200989,250,5
"703",20200989,255,6
"704",20200989,260,8
"705",20200989,265,12
"706",20200989,270,21
"707",20200989,275,25
"708",20200989,280,41
"709",20200989,285,33
"710",20200989,290,27
"711",20200989,295,20
"712",20200989,300,13
"713",20200989,305,2
"714",20200989,310,3
"715",20200990,235,1
"716",20200990,240,2
"717",20200990,245,2
"718",20200990,250,7
"719",20200990,255,12
"720",20200990,260,15
"721",20200990,265,21
"722",20200990,270,25
"723",20200990,275,34
"724",20200990,280,40
"725",20200990,285,32
"726",20200990,290,26
"727",20200990,295,12
"728",20200990,300,6
"729",20200990,305,3
"730",20200991,135,1
"731",20200991,140,12
"732",20200991,145,21
"733",20200991,150,38
"734",20200991,155,35
"735",20200991,160,20
"736",20200991,165,11
"737",20200991,170,6
"738",20200991,175,7
"739",20200991,180,1
"740",20200991,200,1
"741",20200991,220,1
"742",20200992,270,3
"743",20200992,275,9
"744",20200992,280,30
"745",20200992,285,29
"746",20200992,290,43
"747",20200992,295,8
"748",20200992,300,23
"749",20200992,305,2
"750",20200992,310,2
"751",20200992,315,1
"752",20200530,250,7
"753",20200530,255,13
"754",20200530,260,19
"755",20200530,265,10
"756",20200530,270,19
"757",20200530,275,18
"758",20200530,280,23
"759",20200530,285,17
"760",20200530,290,23
"761",20200530,295,10
"762",20200530,300,12
"763",20200530,305,5
"764",20200530,310,8
"765",20200530,315,5
"766",20200530,320,5
"767",20200530,325,5
"768",20200530,235,3
"769",20200530,240,6
"770",20200530,245,5
"771",20200530,330,4
"772",20200530,335,2
"773",20200531,220,2
"774",20200531,225,1
"775",20200531,230,3
"776",20200531,235,3
"777",20200531,240,8
"778",20200531,245,7
"779",20200531,250,15
"780",20200531,255,30
"781",20200531,260,40
"782",20200531,265,31
"783",20200531,270,30
"784",20200531,275,17
"785",20200531,280,16
"786",20200052,190,2
"787",20200052,195,1
"788",20200052,200,2
"789",20200052,210,1
"790",20200052,215,2
"791",20200052,220,4
"792",20200052,225,11
"793",20200052,230,22
"794",20200052,235,31
"795",20200052,240,23
"796",20200052,245,19
"797",20200052,250,24
"798",20200052,255,20
"799",20200052,260,17
"800",20200052,265,11
"801",20200052,270,6
"802",20200052,275,3
"803",20200052,280,2
"804",20200052,285,1
"805",20200052,290,2
"806",20200052,315,1
"807",20200674,290,1
"808",20200675,180,1
"809",20200675,185,1
"810",20200675,190,2
"811",20200675,200,6
"812",20200675,205,12
"813",20200675,210,41
"814",20200675,215,33
"815",20200675,220,32
"816",20200675,225,26
"817",20200675,230,20
"818",20200675,235,15
"819",20200675,240,11
"820",20200675,245,5
"821",20200675,250,3
"822",20200675,255,3
"823",20200675,260,5
"824",20200676,190,2
"825",20200676,195,5
"826",20200676,200,11
"827",20200676,205,12
"828",20200676,210,32
"829",20200676,215,33
"830",20200676,220,43
"831",20200676,225,22
"832",20200676,230,24
"833",20200676,235,8
"834",20200676,240,12
"835",20200676,245,7
"836",20200676,250,8
"837",20200676,255,7
"838",20200676,260,9
"839",20200676,265,5
"840",20200676,270,6
"841",20200676,275,2
"842",20200677,185,1
"843",20200677,190,7
"844",20200677,195,11
"845",20200677,200,30
"846",20200677,205,29
"847",20200677,210,45
"848",20200677,215,31
"849",20200677,220,25
"850",20200677,225,22
"851",20200677,230,20
"852",20200677,235,3
"853",20200677,240,2
"854",20200677,245,1
"855",20200677,250,2
"856",20200677,255,1
"857",20200677,260,2
"858",20200678,160,2
"859",20200678,165,4
"860",20200678,170,7
"861",20200678,175,5
"862",20200678,180,6
"863",20200678,185,6
"864",20200678,190,13
"865",20200678,195,15
"866",20200678,200,32
"867",20200678,205,35
"868",20200678,210,34
"869",20200678,215,21
"870",20200678,220,19
"871",20200678,225,7
"872",20200678,230,8
"873",20200678,235,5
"874",20200678,240,5
"875",20200678,245,3
"876",20200678,250,3
"877",20200678,255,3
"878",20200678,260,3
"879",20200678,265,2
"880",20200678,270,1
"881",20200679,185,5
"882",20200679,190,3
"883",20200679,195,10
"884",20200679,200,20
"885",20200679,205,40
"886",20200679,210,23
"887",20200679,215,34
"888",20200679,220,13
"889",20200679,225,10
"890",20200679,230,6
"891",20200679,235,1
"892",20200679,240,5
"893",20200680,200,3
"894",20200680,205,7
"895",20200680,210,12
"896",20200680,215,11
"897",20200680,220,21
"898",20200680,225,10
"899",20200680,230,3
"900",20200680,235,2
"901",20200680,240,6
"902",20200680,245,5
"903",20200680,250,2
"904",20200680,255,10
"905",20200680,260,11
"906",20200680,265,8
"907",20200680,270,15
"908",20200680,275,5
"909",20200680,280,9
"910",20200680,285,7
"911",20200680,295,2
"912",20200680,300,1
"913",20200681,160,1
"914",20200681,165,2
"915",20200681,170,9
"916",20200681,175,7
"917",20200681,180,15
"918",20200681,185,17
"919",20200681,190,25
"920",20200681,195,25
"921",20200681,200,35
"922",20200681,205,28
"923",20200681,210,21
"924",20200681,215,6
"925",20200681,220,5
"926",20200681,230,2
"927",20200681,240,1
"928",20200681,265,1
"929",20200682,170,2
"930",20200682,175,1
"931",20200682,180,6
"932",20200682,185,5
"933",20200682,190,26
"934",20200682,195,18
"935",20200682,200,30
"936",20200682,205,31
"937",20200682,210,47
"938",20200682,215,22
"939",20200682,220,20
"940",20200682,225,3
"941",20200682,230,5
"942",20200682,235,1
"943",20200682,245,1
"944",20200682,250,1
"945",20200682,255,1
"946",20200682,290,1
"947",20200683,160,2
"948",20200683,165,1
"949",20200683,170,6
"950",20200683,175,7
"951",20200683,180,10
"952",20200683,185,16
"953",20200683,190,30
"954",20200683,195,32
"955",20200683,200,40
"956",20200683,205,34
"957",20200683,210,27
"958",20200683,215,5
"959",20200683,220,7
"960",20200683,225,1
"961",20200683,230,1
"962",20200683,240,1
"963",20200683,250,1
"964",20200683,260,1
"965",20200684,200,7
"966",20200684,205,10
"967",20200684,210,15
"968",20200684,215,23
"969",20200684,220,44
"970",20200684,225,15
"971",20200684,230,15
"972",20200684,235,3
"973",20200684,240,4
"974",20200684,245,6
"975",20200684,250,3
"976",20200684,255,2
"977",20200684,275,1
"978",20200684,280,1
"979",20200684,290,1
"980",20200685,180,1
"981",20200685,185,2
"982",20200685,190,5
"983",20200685,195,11
"984",20200685,200,23
"985",20200685,205,25
"986",20200685,210,41
"987",20200685,215,30
"988",20200685,220,48
"989",20200685,225,10
"990",20200685,230,19
"991",20200685,235,9
"992",20200685,240,7
"993",20200685,250,1
"994",20200685,260,1
"995",20200685,280,1
"996",20200686,195,2
"997",20200686,200,4
"998",20200686,205,16
"999",20200686,210,37
"1000",20200686,215,34
"1001",20200686,220,31
"1002",20200686,225,17
"1003",20200686,230,10
"1004",20200686,235,7
"1005",20200686,240,6
"1006",20200686,245,2
"1007",20200686,250,1
"1008",20200686,255,1
"1009",20200686,260,1
"1010",20200687,200,3
"1011",20200687,210,27
"1012",20200687,215,22
"1013",20200687,220,47
"1014",20200687,225,14
"1015",20200687,230,14
"1016",20200687,235,2
"1017",20200687,240,6
"1018",20200687,245,3
"1019",20200687,250,5
"1020",20200687,255,1
"1021",20200687,260,4
"1022",20200687,270,1
"1023",20200687,300,1
"1024",20200688,175,1
"1025",20200688,180,2
"1026",20200688,185,1
"1027",20200688,190,2
"1028",20200688,195,5
"1029",20200688,200,16
"1030",20200688,205,37
"1031",20200688,210,54
"1032",20200688,215,31
"1033",20200688,220,28
"1034",20200688,225,25
"1035",20200688,230,15
"1036",20200688,235,5
"1037",20200688,240,2
"1038",20200688,245,2
"1039",20200688,250,2
"1040",20200688,255,1
"1041",20200688,265,1
"1042",20200689,180,12
"1043",20200689,185,11
"1044",20200689,190,10
"1045",20200689,195,31
"1046",20200689,200,14
"1047",20200689,205,35
"1048",20200689,210,18
"1049",20200689,215,25
"1050",20200689,220,7
"1051",20200689,225,10
"1052",20200689,230,2
"1053",20200690,170,2
"1054",20200690,175,4
"1055",20200690,180,6
"1056",20200690,185,4
"1057",20200690,190,23
"1058",20200690,195,17
"1059",20200690,200,49
"1060",20200690,205,34
"1061",20200690,210,36
"1062",20200690,215,18
"1063",20200690,220,10
"1064",20200690,225,4
"1065",20200690,230,3
"1066",20200690,235,1
"1067",20200690,240,3
"1068",20200690,250,1
"1069",20200691,240,2
"1070",20200691,245,3
"1071",20200691,250,9
"1072",20200691,255,6
"1073",20200691,260,11
"1074",20200691,265,9
"1075",20200691,270,22
"1076",20200691,275,24
"1077",20200691,280,29
"1078",20200691,285,15
"1079",20200691,290,7
"1080",20200691,295,4
"1081",20200691,300,8
"1082",20200691,305,7
"1083",20200691,310,1
"1084",20200691,315,2
"1085",20200691,320,1
"1086",20200692,225,2
"1087",20200692,240,2
"1088",20200692,245,4
"1089",20200692,250,22
"1090",20200692,255,12
"1091",20200692,260,24
"1092",20200692,265,29
"1093",20200692,270,24
"1094",20200692,275,39
"1095",20200692,280,28
"1096",20200692,285,12
"1097",20200692,290,4
"1098",20200692,295,6
"1099",20200692,300,4
"1100",20200692,310,2
"1101",20200693,190,1
"1102",20200693,195,1
"1103",20200693,200,11
"1104",20200693,205,13
"1105",20200693,210,42
"1106",20200693,215,33
"1107",20200693,220,35
"1108",20200693,225,22
"1109",20200693,230,20
"1110",20200693,235,11
"1111",20200693,240,11
"1112",20200693,245,5
"1113",20200693,250,8
"1114",20200693,255,3
"1115",20200693,260,5
"1116",20200693,265,3
"1117",20200693,270,2
"1118",20200694,200,3
"1119",20200694,205,6
"1120",20200694,210,35
"1121",20200694,215,25
"1122",20200694,220,44
"1123",20200694,225,10
"1124",20200694,230,5
"1125",20200694,235,6
"1126",20200694,240,3
"1127",20200694,245,2
"1128",20200694,250,4
"1129",20200694,255,2
"1130",20200694,260,5
"1131",20200695,190,1
"1132",20200695,200,6
"1133",20200695,205,11
"1134",20200695,210,29
"1135",20200695,215,41
"1136",20200695,220,69
"1137",20200695,225,20
"1138",20200695,230,10
"1139",20200695,235,5
"1140",20200695,240,4
"1141",20200695,245,4
"1142",20200695,250,4
"1143",20200695,255,6
"1144",20200695,260,6
"1145",20200695,265,5
"1146",20200695,290,1
"1147",20200696,200,3
"1148",20200696,205,7
"1149",20200696,210,29
"1150",20200696,215,17
"1151",20200696,220,53
"1152",20200696,225,16
"1153",20200696,230,13
"1154",20200696,235,1
"1155",20200696,240,7
"1156",20200696,255,1
"1157",20200696,260,2
"1158",20200696,290,1
"1159",20200554,160,6
"1160",20200554,165,4
"1161",20200554,170,10
"1162",20200554,175,10
"1163",20200554,180,8
"1164",20200554,185,28
"1165",20200554,190,49
"1166",20200554,195,36
"1167",20200554,200,53
"1168",20200554,205,20
"1169",20200554,210,10
"1170",20200554,215,3
"1171",20200554,270,1
"1172",20200043,175,3
"1173",20200043,180,1
"1174",20200043,185,8
"1175",20200043,195,9
"1176",20200043,200,1
"1177",20200043,205,1
"1178",20200043,210,1
"1179",20200043,215,1
"1180",20200043,220,12
"1181",20200043,225,8
"1182",20200043,230,11
"1183",20200043,235,18
"1184",20200043,240,21
"1185",20200043,245,19
"1186",20200043,250,15
"1187",20200172,200,8
"1188",20200172,205,6
"1189",20200172,210,2
"1190",20200172,215,1
"1191",20200895,230,3
"1192",20200895,235,3
"1193",20200895,240,10
"1194",20200895,245,11
"1195",20200895,250,17
"1196",20200895,255,15
"1197",20200895,260,26
"1198",20200895,265,22
"1199",20200895,270,31
"1200",20200895,275,18
"1201",20200895,280,25
"1202",20200895,285,19
"1203",20200895,290,15
"1204",20200895,295,10
"1205",20200895,300,6
"1206",20200895,305,2
"1207",20200895,310,1
"1208",20200896,230,1
"1209",20200896,235,1
"1210",20200106,230,12
"1211",20200106,235,26
"1212",20200106,240,42
"1213",20200106,245,40
"1214",20200106,250,38
"1215",20200106,255,18
"1216",20200106,260,19
"1217",20200106,265,8
"1218",20200106,270,6
"1219",20200106,280,1
"1220",20200106,290,1
"1221",20200107,210,1
"1222",20200107,215,3
"1223",20200107,220,4
"1224",20200107,225,4
"1225",20200107,230,5
"1226",20200107,235,24
"1227",20200107,240,20
"1228",20200107,245,28
"1229",20200107,250,20
"1230",20200107,255,24
"1231",20200107,260,20
"1232",20200107,265,2
"1233",20200107,270,6
"1234",20200107,280,9
"1235",20200107,285,1
"1236",20200107,290,2
"1237",20200107,295,1
"1238",20200108,220,2
"1239",20200108,225,2
"1240",20200108,230,5
"1241",20200108,235,4
"1242",20200108,240,16
"1243",20200108,245,17
"1244",20200108,250,20
"1245",20200108,255,22
