"X","Region_name","Lat_S","Lon_S","Lat_E","Lon_E","Dist_S","Dist_E","Area_Backscatter_Strength","Frequency","Time_S","Time_E","Date_S","Boat","areaKm","distance","sum_trans","Actual_Weighting","calc_actual_mean_sa","trans_meanSa","TS","biomass_density","density","weighted_mean_biomass_calc","trans_biomass","total_biomass","se","standard_error_tonnes","standard_error_perc","mean_biomass_density","meanSa","Vessel","Transect_No","TransCount","SD","Variance","SurveyArea","Reader","Date","Total_Variance","Total_StErr","ci","SA"
1,"LB_T03",43.50146311,-66.19034001,43.2480278,-66.19075346,103571.427476,132734.668971,-63.969765878,38," 02:37:57.7180"," 04:23:15.7180",20200816,"LB",362.018969207912,29.163241495,171.281795544,0.170264688097039,6.82571261910494e-08,-71.6585200064048,-35.5,0.00142240546491867,0.0414819540772308,0.000242185422831901,87.6757171307871,711.016320754758,0.00081841077632839,296.280225635051,41.6699612915416,0.00199009475709122,-62.5694575498945,"LB","T03",6,725.735373682543,87781.9721023568,"SealIsland","Allan",2020-08-16,477472.347677253,690.993739246061,1354.34772892228,1220.21497385072
1,"MS_T01",43.50386185,-66.13710366,43.24726799,-66.13663577,46.184429,28635.948924,-61.9016707028,38," 19:16:36.2320"," 21:43:09.2340",20200831,"MS",187.901305720035,28.589764495,85.47635865,0.334475695344797,2.1587258644458e-07,-66.6580250501063,-35.5,0.00228998654027945,0.0654701758833093,0.000765944840390194,143.922035618841,307.819243374456,0.000366665621206129,68.8969489872794,22.3822748155701,0.00163722409629034,-63.3563403166867,"MS","T01",3,119.333016132449,4746.78957975578,"SealIsland","Allan",2020-08-31,477472.347677253,690.993739246061,1354.34772892228,1220.21497385072
1,"FM_T01",43.50162235,-66.21651586,43.25297909,-66.21695072,4236.919835,32561.7915,-70.9372978423,38," 20:53:44.0020"," 22:34:54.5030",20200913,"FM",358.646362030474,28.324871665,167.471581793,0.169132406595469,1.36300372986683e-08,-78.6550295571458,-35.5,0.000285936907460176,0.00809912620809646,4.83611972932054e-05,17.3445674726461,618.260872412991,0.000768597356332428,275.654645714865,44.5854910143385,0.00172658735163293,-63.1349466750254,"FM","T01",6,675.213227229093,75985.4837041879,"SealIsland","Allan",2020-09-13,477472.347677253,690.993739246061,1354.34772892228,1220.21497385072
1,"C1_T03",43.50102167,-66.18908,43.25021052,-66.18731391,69372.820024,98712.610939,-62.7221300323,38," 23:25:14.0410"," 01:05:05.0420",20200927,"C1",364.779237133926,29.339790915,175.135509126,0.167526226185757,8.95096382919481e-08,-70.4813019785017,-35.5,0.00189577589458872,0.05562166836893,0.000317592181314375,115.851033619557,1210.80978926988,0.000470002813917479,171.447267911617,14.1597193408058,0.00331958065023752,-60.2895418723224,"C1","T03",6,419.958324177705,29394.1656743577,"SealIsland","Allan",2020-09-27,477472.347677253,690.993739246061,1354.34772892228,1220.21497385072
1,"FM_T03",43.50193176,-66.21639669,43.24691232,-66.21693914,101388.76344,130520.83183,-57.9736983858,38," 02:14:18.2360"," 04:05:10.7430",20201011,"FM",353.714860195127,29.13206839,201.051873069,0.14489826901539,2.31043289239144e-07,-66.363066412493,-35.5,0.00565757293525065,0.164816801671135,0.000819772525146138,289.965724123873,624.707077220478,0.000713961005052351,252.538617086865,40.4251250378802,0.00175263865233599,-63.0345236695451,"FM","T03",7,668.154377252011,63775.7531201462,"SealIsland","Allan",2020-10-11,477472.347677253,690.993739246061,1354.34772892228,1220.21497385072
1,"FM_T03",43.50072222,-66.21693394,43.24910992,-66.21686067,107581.56845,136362.06099,-56.9692893904,38," 02:00:51.6010"," 03:41:17.0960",20201026,"FM",370.362610845227,28.78049254,144.656357682,0.198957674596429,3.99789843869889e-07,-63.9816824275239,-35.5,0.00712969679467611,0.205196185411638,0.00141850789484637,525.362287439869,856.872801622775,0.00125425745950968,464.530067376106,54.2122548990192,0.00230895231263202,-61.8571077904751,"FM","T03",5,1038.72080824553,215788.183496449,"SealIsland","Allan",2020-10-26,477472.347677253,690.993739246061,1354.34772892228,1220.21497385072
