"","SAMPLID","AREA","OLD_SAMP","SDATE","SPEC","SAMP_TYPE","GEAR","BD","LAT","LON","LF_SAMPLER","FISHING_VESSEL_1","FISHING_VESSEL_2","FISHING_VESSEL_3","CARRIER","FOREIGN_VESSEL","CRUISE","SETNO","COMMENTS","PLANT","AGER1","AGER2","MARKET_WEIGHT_KG","HOW_LF_OBTAINED","HOW_DETAIL_OBTAINED","DETAIL_SAMPLER","WEIR_CODE"
"60",20200945,467,NA,2020-10-02,60,4,2,1,4444.26,6643.03,"Ken Dougan, Connors","Brunswick Provider",NA,NA,NA,NA,NA,NA,"Long Island, Grand Manan, 4XS, 1 of 2; Ager1_Reading2 is LC","Connors #10, Blacks Harbour","DK",NA,33500,NA,NA,"Allan Debertin",NA
"61",20200947,467,NA,2020-10-02,60,4,2,0,4446.47,6644.04,"Ken Dougan, Connors","Canada 100",NA,NA,NA,NA,NA,NA,"North Head, Grand Manan, 4XS, 1 of 2","Connors #10, Blacks Harbour",NA,NA,26000,NA,NA,NA,NA
"62",20200948,467,NA,2020-10-02,60,5,2,0,4446.47,6644.04,"Ed Blackier","Canada 100",NA,NA,NA,NA,NA,NA,"North Head, Grand Manan, 4XS, 2 of 2, Tally #66","Atlantic Catch Data",NA,NA,26000,NA,NA,NA,NA
"63",20200949,467,NA,2020-10-02,60,4,2,0,4445,6642,"Ken Dougan, Connors","Fundy Monarch",NA,NA,NA,NA,NA,NA,"North Head, Grand Manan, 4XS, 1 of 2","Connors #10, Blacks Harbour",NA,NA,17500,NA,NA,NA,NA
"64",20200950,467,NA,2020-10-02,60,5,2,0,4445,6642,"Ed Blackier","Fundy Monarch",NA,NA,NA,NA,NA,NA,"North Head, Grand Manan, 4XS, 2 of 2, Tally #65","Atlantic Catch Data",NA,NA,17500,NA,NA,NA,NA
"65",20200951,465,NA,2020-10-02,60,5,2,0,4331,6618,"Dale Knickle","Lady Janice II",NA,NA,NA,NA,NA,NA,"German Bank, 4XS","Atlantic Catch Data",NA,NA,29000,NA,NA,NA,NA
"66",20200927,465,NA,2020-09-28,60,4,2,1,4317,6626.55,"Wendy Deveau","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ, 1 of 2; Ager1_Reading2 is LC","Scotia Garden Seafood Inc.","LC",NA,37000,NA,NA,"Claire Neufeld",NA
"67",20200928,465,NA,2020-09-28,60,5,2,0,4317,6626.55,"Heather Perry","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ, 2 of 2","Atlantic Catch Data",NA,NA,37000,NA,NA,NA,NA
"68",20200929,465,NA,2020-09-28,60,4,2,0,4316,6610.2,"Devin and Zach","Morning Star",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ, 1 of 2","Cape Breeze Seafoods",NA,NA,10000,NA,NA,NA,NA
"69",20200930,465,NA,2020-09-28,60,5,2,0,4316,6610.2,"Heather Perry","Morning Star",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ, 2 of 2","Atlantic Catch Data",NA,NA,10000,NA,NA,NA,NA
"70",20200931,465,NA,2020-09-28,60,6,2,1,4316.8,6626.3,"Nicole Comeau","Sealife II",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ, 1 of 2","Comeau's Sea Foods Ltd.","LC",NA,17000,NA,NA,"Claire Neufeld",NA
"71",20200932,465,NA,2020-09-28,60,5,2,0,4316,6626,"Dale Knickle","Tasha Marie",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ","Atlantic Catch Data",NA,NA,36000,NA,NA,NA,NA
"72",20201066,463,NA,2020-10-19,60,4,8,1,4402,6432,"Wendy Deveau","Double or Nothin",NA,NA,NA,NA,NA,NA,"Little Hope","Scotia Garden Seafood Inc.","LC",NA,10000,NA,NA,"Claire Neufeld",NA
"73",20201067,467,NA,2020-10-19,60,4,1,0,4458.57,6642.73,"Ken Dougan, Connors",NA,NA,NA,"Andrew & Dean",NA,NA,NA,"Pauls Cove #730, NB weir","Connors #10, Blacks Harbour",NA,NA,7870,NA,NA,NA,730
"74",20201068,467,NA,2020-10-20,60,4,2,1,4457,6644,"Andrew Vandenbergh","Brunswick Provider",NA,NA,NA,NA,NA,NA,"Wolves, 4XS, 1 of 2; Ager1_Reading2 is LC","Connors #10, Blacks Harbour","LC",NA,5500,NA,NA,"Claire Neufeld",NA
"75",20201069,467,NA,2020-10-20,60,5,2,NA,4457,6644,"Ed Blackier","Brunswick Provider",NA,NA,NA,NA,NA,NA,"Wolves, 4XS, 2 of 2, Tally #66","Atlantic Catch Data",NA,NA,5500,NA,NA,NA,NA
"76",20201070,467,NA,2020-10-20,60,5,2,0,4437,6638,"Dale Knickle","Lady Janice II",NA,NA,NA,NA,NA,NA,"White Head Island, 4XS, LF split into two samples","Atlantic Catch Data",NA,NA,15725,NA,NA,NA,NA
"77",20201071,466,NA,2020-10-20,60,5,2,0,4419.48,6623.35,"Dale Knickle","Lady Janice II",NA,NA,NA,NA,NA,NA,"Long Island Shore, 4XR, Split LF into 2 samples see 20201070","Atlantic Catch Data",NA,NA,5550,NA,NA,NA,NA
