Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Corrected_length,Corrected_thickness,3D_school_volume,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Region_notes
1,"FM_T01","Transect",2006,47.419371,263,5834,1317.306100,39542.503345,20201025, 19:39:20.1050,20201025, 21:58:36.6030,43.56714367,-66.49384478,43.23534487,-66.49326534,"13.0.388.45006",20230628, 11:35:54.2920,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-25\FM_Oct25_2020_AD2.EV",3225338.046875,-9999.000000,19999.212000,-9999.000000,0.00000313477184,-55.0379406354,84.555945,38.000000,""
2,"FM_T02","Transect",2006,31.417805,7375,13290,51224.836893,89178.100814,20201025, 22:37:08.1060,20201026, 01:05:00.6060,43.23601906,-66.35411024,43.56610289,-66.35492500,"13.0.388.45006",20230628, 11:35:54.2920,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-25\FM_Oct25_2020_AD2.EV",2140078.852690,37956.073215,19999.212000,92131218.869350,0.00002448447269,-46.1110924475,56.202223,38.000000,""
3,"FM_T03","Transect",2006,34.128886,15524,19541,107581.568450,136362.060990,20201026, 02:00:51.6010,20201026, 03:41:17.0960,43.50072222,-66.21693394,43.24910992,-66.21686067,"13.0.388.45006",20230628, 11:35:54.2920,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-25\FM_Oct25_2020_AD2.EV",1776639.832064,-9999.000000,19999.212000,-9999.000000,0.00000200942158,-56.9692893904,61.572508,38.000000,""
