"","Region_name","Lat_S","Lon_S","Lat_E","Lon_E","Dist_S","Dist_E","Area_Backscatter_Strength","Frequency","Time_S","Time_E","Date_S","Boat","areaKm","distance","sum_trans","Actual_Weighting","calc_actual_mean_sa","trans_meanSa","TS","biomass_density","density","weighted_mean_biomass_calc","trans_biomass","total_biomass","se","standard_error_tonnes","standard_error_perc","mean_biomass_density","meanSa","Vessel","Transect_No","TransCount","SD","Variance","SurveyArea","Reader"
"1","FM_T01",43.56714367,-66.49384478,43.23534487,-66.49326534,1317.3061,39542.503345,-55.0379406354,38," 19:39:20.1050"," 21:58:36.6030",20201025,"FM",824.222141906115,38.225197245,456.293557868,0.0837732564614863,2.62610045095977e-07,-65.8068866573201,-34.8930186523252,0.00967181100994159,0.36970688357138,0.000810239104182863,667.817009905691,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"FM","T01",12,17497.6610308931,25514011.7960028,"German","Allan"
"2","FM_T02",43.23601906,-66.35411024,43.56610289,-66.354925,51224.836893,89178.100814,-46.1110924475,38," 22:37:08.1060"," 01:05:00.6060",20201025,"FM",824.222141906115,37.953263921,456.293557868,0.0831772951131153,2.03655221053552e-06,-56.9110445154567,-34.8930186523252,0.075542720426448,2.8670928056553,0.00628343915055823,5178.94967520984,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"FM","T02",12,17497.6610308931,25514011.7960028,"German","Allan"
"3","LB_T01",43.56525484,-66.40142876,43.23487667,-66.40113833,1043.510269,39062.320127,-61.4871896825,38," 18:30:14.2340"," 20:54:06.7340",20201025,"LB",824.222141906115,38.018809858,456.293557868,0.083320943726754,5.91609599191002e-08,-72.2796478795124,-34.8930186523252,0.00219069994317622,0.0832878045955483,0.000182531186687589,150.44624565631,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"LB","T01",12,17497.6610308931,25514011.7960028,"German","Allan"
"4","LB_T02",43.23244526,-66.26449948,43.56578057,-66.26316048,50472.813004,89091.212315,-68.9860490151,38," 21:36:33.7340"," 00:27:36.7340",20201025,"LB",824.222141906115,38.618399311,456.293557868,0.0846349869400782,1.06891957423108e-08,-79.7105496998451,-34.8930186523252,0.000389669993003518,0.0150484313893244,3.29797147687931e-05,27.1826111461874,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"LB","T02",12,17497.6610308931,25514011.7960028,"German","Allan"
"5","LJ_T01",43.56020526,-66.46950965,43.23090006,-66.46993339,946.335912,37717.284154,-63.3973240404,38," 18:35:35.8190"," 20:43:59.8190",20201025,"LJ",824.222141906115,36.770948242,456.293557868,0.0805861656557452,3.68576878963564e-08,-74.3347191180138,-34.8930186523252,0.00141113791624072,0.0518888792804112,0.000113718193881278,93.7290533345215,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"LJ","T01",12,17497.6610308931,25514011.7960028,"German","Allan"
"6","LJ_T02",43.231,-66.3328,43.56607892,-66.3322,49430.423677,86789.812394,-66.1927868126,38," 21:24:02.8190"," 23:59:34.3190",20201025,"LJ",824.222141906115,37.359388717,456.293557868,0.0818757750855812,1.96732786391771e-08,-77.061232569466,-34.8930186523252,0.000741349815773359,0.0276963759427532,6.06985907759966e-05,50.0291225000746,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"LJ","T02",12,17497.6610308931,25514011.7960028,"German","Allan"
"7","LM_T01",43.56771921,-66.37959461,43.23222564,-66.378248,4005.466266,42113.686608,-57.5718397992,38," 19:28:26.2380"," 21:46:48.7380",20201025,"LM",824.222141906115,38.108220342,456.293557868,0.0835168932037043,1.46079862179522e-07,-68.3540964954897,-34.8930186523252,0.00539657087675632,0.20565371206265,0.000450704833580279,371.480903300976,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"LM","T01",12,17497.6610308931,25514011.7960028,"German","Allan"
"8","LM_T02",43.23126436,-66.23796323,43.567425,-66.239995,53740.046701,91734.589967,-66.7521074376,38," 22:22:50.2380"," 00:48:26.2380",20201025,"LM",824.222141906115,37.994543266,456.293557868,0.0832677617530409,1.75900124631167e-08,-77.5473385283015,-34.8930186523252,0.000651765129780128,0.0247635184227012,5.42710235454715e-05,44.7313792700857,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"LM","T02",12,17497.6610308931,25514011.7960028,"German","Allan"
"9","MS_T01",43.56099467,-66.44793216,43.23377426,-66.4473,506.585071,36991.485457,-62.3881856548,38," 18:32:57.7360"," 20:48:21.7310",20201025,"MS",824.222141906115,36.484900386,456.293557868,0.0799592712999788,4.61370967195577e-08,-73.3594973791086,-34.8930186523252,0.00178025944990187,0.064952588690905,0.000142348248339055,117.326578142599,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"MS","T01",12,17497.6610308931,25514011.7960028,"German","Allan"
"10","MS_T02",43.23482581,-66.30832382,43.56646788,-66.30905031,48746.733596,85699.487283,-73.7238126912,38," 21:31:33.7380"," 00:13:44.2400",20201025,"MS",824.222141906115,36.952753687,456.293557868,0.0809846053046621,3.4357471964608e-09,-84.6397879921251,-34.8930186523252,0.000130894258164042,0.00483690328097845,1.06004198340615e-05,8.73710074073425,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"MS","T02",12,17497.6610308931,25514011.7960028,"German","Allan"
"11","SL_T01",43.56719167,-66.42425333,43.23273559,-66.42424205,94.484072,40464.636773,-54.9316327188,38," 18:33:15.4190"," 20:51:31.4190",20201025,"SL",824.222141906115,40.370152701,456.293557868,0.0884740799094924,2.84218787896405e-07,-65.463472170136,-34.8930186523252,0.00991148192601406,0.400128038846389,0.000876909243943657,722.768015300513,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"SL","T01",12,17497.6610308931,25514011.7960028,"German","Allan"
"12","SL_T02",43.23485748,-66.28535484,43.56668167,-66.28605333,52738.081988,92175.06218,-66.3204659714,38," 21:34:47.4310"," 00:05:15.4330",20201025,"SL",824.222141906115,39.436980192,456.293557868,0.0864289655463613,2.01656728775142e-08,-76.9538728210586,-34.8930186523252,0.000719871977511604,0.028389576917901,6.22177903421414e-05,51.2812804204654,7484.478974928,0.00612837170511591,5051.13965318746,67.4881935016198,0.00904485272689262,-55.3118456974287,"SL","T02",12,17497.6610308931,25514011.7960028,"German","Allan"
