"","Region_name","Lat_S","Lon_S","Lat_E","Lon_E","Dist_S","Dist_E","Area_Backscatter_Strength","Frequency","Time_S","Time_E","Date_S","Boat","areaKm","distance","sum_trans","Actual_Weighting","calc_actual_mean_sa","trans_meanSa","TS","biomass_density","density","weighted_mean_biomass_calc","trans_biomass","total_biomass","se","standard_error_tonnes","standard_error_perc","mean_biomass_density","meanSa","Vessel","Transect_No","TransCount","SD","Variance","SurveyArea","Reader"
"1","BP_T01",43.56975205,-66.45461058,43.23397073,-66.4539176,5611.185377,42967.299179,-58.074659023,38," 19:25:11.3270"," 21:44:37.3270",20200913,"BP",818.290415225671,37.356113802,532.74252864,0.0701203898576743,1.09239177049383e-07,-69.6162158026663,-35.1087286351653,0.00505134418544944,0.18869858824472,0.000354202223589011,289.840284614508,58753.8831408773,0.0429285587770613,35128.0281867211,59.7884366255296,0.0708249943470534,-46.5535196678482,"BP","T01",14,131437.046147648,1233978364.28707,"German","Allan"
"2","BP_T02",43.24089022,-66.31990245,43.56453126,-66.31812369,54766.937536,90788.649286,-55.379315803,38," 22:34:47.3270"," 00:45:35.3270",20200913,"BP",818.290415225671,36.02171175,532.74252864,0.0676156113197068,1.95936523721599e-07,-67.0788460141074,-35.1087286351653,0.00939596268194534,0.338458659342792,0.000635313760676886,519.871161022871,58753.8831408773,0.0429285587770613,35128.0281867211,59.7884366255296,0.0708249943470534,-46.5535196678482,"BP","T02",14,131437.046147648,1233978364.28707,"German","Allan"
"3","C1_T01",43.57513157,-66.49051256,43.23026779,-66.49376167,967.390845,41970.167196,-53.5341578309,38," 19:29:16.3650"," 21:55:24.3580",20200913,"C1",818.290415225671,41.002776351,532.74252864,0.0769654648290855,3.41098738726408e-07,-64.6711988647115,-35.1087286351653,0.0143700103331776,0.589210319852841,0.00110599452489178,905.024719011012,58753.8831408773,0.0429285587770613,35128.0281867211,59.7884366255296,0.0708249943470534,-46.5535196678482,"C1","T01",14,131437.046147648,1233978364.28707,"German","Allan"
"4","C1_T02",43.23467536,-66.35878513,43.56744291,-66.35699702,53919.743466,92879.763924,-37.3280535566,38," 22:38:05.3560"," 00:59:32.3600",20200913,"C1",818.290415225671,38.960020458,532.74252864,0.0731310499228553,1.35299581372423e-05,-48.6870354714168,-35.1087286351653,0.599884316576897,23.3715052462693,0.043870169903523,35898.5395463746,58753.8831408773,0.0429285587770613,35128.0281867211,59.7884366255296,0.0708249943470534,-46.5535196678482,"C1","T02",14,131437.046147648,1233978364.28707,"German","Allan"
"5","LB_T01",43.5660216,-66.39618759,43.23399911,-66.39536456,1661.191237,39717.20888,-53.3880079978,38," 19:36:16.4370"," 22:01:49.4370",20200913,"LB",818.290415225671,38.056017643,532.74252864,0.0714341649054196,3.27419975927018e-07,-64.8489482776395,-35.1087286351653,0.0148618222833357,0.565581771021753,0.00106164186378284,868.731361535817,58753.8831408773,0.0429285587770613,35128.0281867211,59.7884366255296,0.0708249943470534,-46.5535196678482,"LB","T01",14,131437.046147648,1233978364.28707,"German","Allan"
"6","LB_T02",43.23180667,-66.25918,43.56879286,-66.25916375,50944.558577,89452.608869,-54.2457151881,38," 22:39:32.9370"," 01:09:47.9370",20200913,"LB",818.290415225671,38.508050292,532.74252864,0.072282666056912,2.7193345701593e-07,-65.6553735620981,-35.1087286351653,0.0121983571498164,0.469734950604907,0.000881729776303122,721.51102476792,58753.8831408773,0.0429285587770613,35128.0281867211,59.7884366255296,0.0708249943470534,-46.5535196678482,"LB","T02",14,131437.046147648,1233978364.28707,"German","Allan"
"7","LM_T01",43.56651021,-66.37613167,43.23240265,-66.37639966,6085.168933,43816.625544,-42.0872909465,38," 20:32:25.4840"," 22:52:40.4840",20200913,"LM",818.290415225671,37.731456611,532.74252864,0.0708249380940581,4.37982853708499e-06,-53.5854289106106,-35.1087286351653,0.200513569772781,7.56566905779841,0.0142013611661758,11620.8377254397,58753.8831408773,0.0429285587770613,35128.0281867211,59.7884366255296,0.0708249943470534,-46.5535196678482,"LM","T01",14,131437.046147648,1233978364.28707,"German","Allan"
"8","LM_T02",43.23378366,-66.23996794,43.56369846,-66.23999273,55007.447817,92128.268848,-55.7158704816,38," 23:23:56.9840"," 01:47:53.9840",20200913,"LM",818.290415225671,37.120821031,532.74252864,0.0696787266557507,1.86858628713044e-07,-67.2848684260462,-35.1087286351653,0.00869532492686931,0.322777600416709,0.000605879168762262,495.785116583056,58753.8831408773,0.0429285587770613,35128.0281867211,59.7884366255296,0.0708249943470534,-46.5535196678482,"LM","T02",14,131437.046147648,1233978364.28707,"German","Allan"
"9","MS_T01",43.56646272,-66.4750123,43.23429995,-66.47384434,989.974005,37942.203332,-58.455814029,38," 19:33:05.9920"," 21:53:16.4910",20200913,"MS",818.290415225671,36.952229327,532.74252864,0.0693622666493938,9.89787292700186e-08,-70.0445812614177,-35.1087286351653,0.00462691435403709,0.170974800286766,0.000320933267188628,262.616616467514,58753.8831408773,0.0429285587770613,35128.0281867211,59.7884366255296,0.0708249943470534,-46.5535196678482,"MS","T01",14,131437.046147648,1233978364.28707,"German","Allan"
"10","MS_T02",43.233775,-66.33576333,43.56600977,-66.33745186,49249.953678,86231.635554,-51.406644332,38," 22:30:35.9840"," 00:58:31.4800",20200913,"MS",818.290415225671,36.981681876,532.74252864,0.069417551420961,5.02116921461979e-07,-62.9919514254971,-35.1087286351653,0.023453541476501,0.86735140974953,0.00162808742144865,1332.24833212091,58753.8831408773,0.0429285587770613,35128.0281867211,59.7884366255296,0.0708249943470534,-46.5535196678482,"MS","T02",14,131437.046147648,1233978364.28707,"German","Allan"
"11","SL_T01",43.56682167,-66.43507333,43.23262,-66.43479667,331.314015,40015.110048,-49.3476314428,38," 19:32:12.0580"," 21:54:53.0470",20200913,"SL",818.290415225671,39.683796033,532.74252864,0.0744896341095686,8.65630792218237e-07,-60.6266730323957,-35.1087286351653,0.0376798980655229,1.49528138937644,0.00280676182018664,2296.74629528009,58753.8831408773,0.0429285587770613,35128.0281867211,59.7884366255296,0.0708249943470534,-46.5535196678482,"SL","T01",14,131437.046147648,1233978364.28707,"German","Allan"
