Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Sv_max,Sv_min,Sv_noise,NASC_noise,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Standard_deviation,Skewness,Kurtosis,ABC,ABC_noise,Area_Backscatter_Strength,Frequency,Region_notes,Region_detection_settings,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
1,"SL_T01","Transect",2072,-65.601645,826.094745,-13.977322,-69.999888,-976.822402,0.000000,206,8735,4470,1124.399712,41932.249464,21092.642345,0.000000,0.000000,0.000000,20200816, 20:13:32.6670,20200816, 22:38:18.6630,20200816, 21:25:40.6630,43.56598652,-66.42469608,43.23305500,-66.42421167,43.40213714,-66.42427076,0.00003625270606,800.061562,745149.098561,0.00001916628869,0.00000000000000,-47.1746197471,38.000000,"","",22.608516,472.977000,0.031452,34.246550,0.029200
2,"SL_T02","Transect",2072,-73.159186,143.218967,-41.500209,-69.999684,-974.999265,0.000000,11056,19544,15300,53592.238764,92784.276147,74023.082767,0.000000,0.000000,0.000000,20200816, 23:17:43.6640,20200817, 01:41:36.6750,20200817, 00:29:41.6650,43.23423632,-66.28488500,43.56692260,-66.28438547,43.40548895,-66.28518940,0.00000056618821,31.127300,1620.206967,0.00000332283443,0.00000000000000,-54.7849129853,38.000000,"","",74.219248,76.495421,0.037341,4220.599691,0.000237
3,"SL_T03","Transect",2072,-83.374378,8.145873,-40.311735,-69.997855,-989.086588,0.000000,22104,28276,25190,107374.886659,137891.798585,122884.278192,0.000000,0.000000,0.000000,20200817, 02:25:19.6750,20200817, 04:10:41.6770,20200817, 03:18:03.6650,43.50070923,-66.13561027,43.24899975,-66.13668117,43.36949893,-66.13669488,0.00000019366814,179.499317,55949.355199,0.00000018899304,0.00000000000000,-67.2355418276,38.000000,"","",37.417845,129.228031,0.004573,142.904291,0.006998
