Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Sv_max,Sv_min,Sv_noise,NASC_noise,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Standard_deviation,Skewness,Kurtosis,ABC,ABC_noise,Area_Backscatter_Strength,Frequency,Region_notes,Region_detection_settings,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
1,"MS_T01","Transect",2071,-82.595934,17.937343,-41.254205,-69.999700,-978.697518,0.000000,80,6335,3207,445.675680,37719.997631,17945.342977,0.000000,0.000000,0.000000,20200816, 19:59:16.0020,20200816, 22:35:38.4980,20200816, 21:17:26.4940,43.56698142,-66.44916089,43.23249347,-66.44725395,43.40992979,-66.44729030,0.00000013877847,257.349647,102532.872283,0.00000041616569,0.00000000000000,-63.8073372513,38.000000,"","",68.890185,247.025901,0.015895,742.148445,0.001347
2,"MS_T02","Transect",2071,-73.834974,110.296923,-21.196043,-69.999838,-975.253707,0.000000,7930,13772,10851,49197.695802,86275.029616,68432.495571,0.000000,0.000000,0.000000,20200816, 23:15:30.9960,20200817, 01:41:34.0000,20200817, 00:28:32.4980,43.23413800,-66.30766427,43.56711500,-66.30906333,43.40675671,-66.30904833,0.00000780884931,956.425061,922502.451878,0.00000255900752,0.00000000000000,-55.9192843789,38.000000,"","",60.507162,59.033144,0.057719,10.137419,0.098644
4,"MS_T03","Transect",2071,-82.013684,13.010757,-48.288392,-69.999700,-982.149456,0.000000,15524,18966,17245,100305.016688,128685.546799,114823.438176,0.000000,0.000000,0.000000,20200817, 02:25:21.9960,20200817, 03:51:24.9970,20200817, 03:08:23.5040,43.50104667,-66.16227167,43.24607283,-66.16347343,43.37050205,-66.16332333,0.00000008082336,52.322337,5816.223535,0.00000030186360,0.00000000000000,-65.2018925519,38.000000,"","",44.287710,50.483627,0.020526,991.065770,0.001009
