Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Corrected_length,Corrected_thickness,3D_school_volume,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Region_notes
1,"C1_T03","Transect",2033,29.964824,14466,20449,69372.820024,98712.610939,20200927, 23:25:14.0410,20200928, 01:05:05.0420,43.50102167,-66.18908000,43.25021052,-66.18731391,"13.0.388.45006",20230628, 12:00:45.5780,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\C100_Sep27_2020_AD2.EV",1564973.732960,-9999.000000,19999.212000,-9999.000000,0.00000053430224,-62.7221300323,53.100128,38.000000,""
2,"C1_T02","Transect",2033,25.346904,7310,13525,35598.865037,64971.335495,20200927, 21:25:54.0430,20200927, 23:09:33.0410,43.24996327,-66.13870900,43.50320816,-66.13663529,"13.0.388.45006",20230628, 12:00:45.5780,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\C100_Sep27_2020_AD2.EV",1240476.281605,-9999.000000,19999.212000,-9999.000000,0.00000099215021,-60.0342257092,41.974085,38.000000,""
3,"C1_T01","Transect",2033,22.776025,498,6398,1666.820419,30889.385875,20200927, 19:32:15.0430,20200927, 21:10:42.0430,43.49848992,-66.08200646,43.24744801,-66.08360333,"13.0.388.45006",20230628, 12:00:45.5780,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\C100_Sep27_2020_AD2.EV",1101269.341325,-9999.000000,19999.212000,-9999.000000,0.00000150134840,-58.2351851523,37.910873,38.000000,""
