"","Region_name","Lat_S","Lon_S","Lat_E","Lon_E","Dist_S","Dist_E","Area_Backscatter_Strength","Frequency","Time_S","Time_E","Date_S","Boat","areaKm","distance","sum_trans","Actual_Weighting","calc_actual_mean_sa","trans_meanSa","TS","biomass_density","density","weighted_mean_biomass_calc","trans_biomass","total_biomass","se","standard_error_tonnes","standard_error_perc","mean_biomass_density","meanSa","Vessel","Transect_No","TransCount","SD","Variance","SurveyArea","Reader"
"1","FM_T03",43.50072222,-66.21693394,43.24910992,-66.21686067,107581.56845,136362.06099,-56.9692893904,38," 02:00:51.6010"," 03:41:17.0960",20201026,"FM",370.362610845227,28.78049254,144.656357682,0.198957674596429,3.99789843869889e-07,-63.9816824275239,-35.5,0.00712969679467611,0.205196185411638,0.00141850789484637,525.362287439869,856.872801622775,0.00125425745950968,464.530067376106,54.2122548990192,0.00230895231263202,-61.8571077904751,"FM","T03",5,1038.72080824553,215788.183496449,"SealIsland","Allan"
"2","LB_T03",43.50252206,-66.10985142,43.24543407,-66.11015758,103896.137794,133182.514983,-68.9020386405,38," 01:17:05.2340"," 02:56:09.7340",20201026,"LB",370.362610845227,29.286377189,144.656357682,0.202454822299485,2.60689933750801e-08,-75.8387573830188,-35.5,0.00045687367622378,0.0133801748096147,9.24962789331978e-05,34.2571633591675,856.872801622775,0.00125425745950968,464.530067376106,54.2122548990192,0.00230895231263202,-61.8571077904751,"LB","T03",5,1038.72080824553,215788.183496449,"SealIsland","Allan"
"3","LM_T03",43.49412486,-66.08371333,43.24324799,-66.08515985,107571.400139,135955.372189,-67.9569647875,38," 01:34:54.7380"," 03:10:54.7380",20201026,"LM",370.362610845227,28.38397205,144.656357682,0.196216554217388,3.1407919272653e-08,-75.0296083400382,-35.5,0.000567941391609507,0.0161204325854823,0.000111439502859046,41.2730252301702,856.872801622775,0.00125425745950968,464.530067376106,54.2122548990192,0.00230895231263202,-61.8571077904751,"LM","T03",5,1038.72080824553,215788.183496449,"SealIsland","Allan"
"4","MS_T03",43.50033133,-66.16230298,43.24712,-66.16334333,99913.92302,128090.699882,-65.5659806031,38," 00:58:59.2370"," 02:45:27.7450",20201026,"MS",370.362610845227,28.176776862,144.656357682,0.194784227347556,5.406991995675e-08,-72.6704427333851,-35.5,0.000984922229930409,0.0277519338991726,0.000191847315554426,71.0530726723854,856.872801622775,0.00125425745950968,464.530067376106,54.2122548990192,0.00230895231263202,-61.8571077904751,"MS","T03",5,1038.72080824553,215788.183496449,"SealIsland","Allan"
"5","SL_T03",43.50059407,-66.13585783,43.24809408,-66.13676263,106924.251463,136952.990504,-61.6882578871,38," 00:49:19.4320"," 02:30:42.4210",20201026,"SL",370.362610845227,30.028739041,144.656357682,0.207586721539143,1.40725817859755e-07,-68.5162621866033,-35.5,0.00240532747072029,0.0722289509264081,0.000499314043874864,184.927252921183,856.872801622775,0.00125425745950968,464.530067376106,54.2122548990192,0.00230895231263202,-61.8571077904751,"SL","T03",5,1038.72080824553,215788.183496449,"SealIsland","Allan"
